OrganizationName;FriendlyName;Thumbprint;SHA-256 Thumbprint;Status;Last Modified on Release Date;
AC Camerfirma, S.A.;CHAMBERS OF COMMERCE ROOT - 2016;2DE16A5677BACA39E1D68C30DCB14ABE22A6179B;04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51;Active;07.03.2017;
AC Camerfirma, S.A.;GLOBAL CHAMBERSIGN ROOT - 2016;1139A49E8484AAF2D90D985EC4741A65DD5D94E2;C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109;Active;07.03.2017;
AC Camerfirma, S.A.;Chambers of Commerce Root;6E3A55A4190C195C93843CC0DB722E313061F0B1;0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3;Active;02.10.2018;
AC Camerfirma, S.A.;Chambersign Global Root;339B6B1450249B557A01877284D9E02FC3D2D8E9;EF3CB417FC8EBF6F97876C9E4ECE39DE1EA5FE649141D1028B7D11C0B2298CED;Active;02.10.2018;
AC Camerfirma, S.A.;Global Chambersign Root - 2008;4ABDEEEC950D359C89AEC752A12C5B29F6D6AA0C;136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA;Active;02.10.2018;
AC Camerfirma, S.A.;Chambers of Commerce Root - 2008;786A74AC76AB147F9C6A3050BA9EA87EFE9ACE3C;063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0;Active;;
Actalis;Actalis Authentication CA G1;9158C5EF987301A8903CFDAB03D72DA1D88909C9;AFE80A97EA11159190E927E08EC2E60C59A40559483A3FEE838A85321B3AEAAD;Disable;16.11.2016;
Actalis;Actalis Authentication Root CA;F373B387065A28848AF2F34ACE192BDDC78E9CAC;55926084EC963A64B96E2ABE01CE0BA86A64FBFEBCC7AAB5AFC155B37FD76066;Active;;
Agencia Notarial de Certificación (ANCERT);ANCERT Certificados CGN;11C5B5F75552B011669C2E9717DE6D9BFF5FA810;8177D1A82BA501AFDD1E9483AD7DA912EE1E9FCB2A5A061FA3C479FA804CE6BA;Disable;29.09.2016;
Agencia Notarial de Certificación (ANCERT);ANCERT Certificados Notariales;C09AB0C8AD7114714ED5E21A5A276ADCD5E7EFCB;00AB444ABD6BDBA33DA8DE569AC4ECDE326D1BE1A61442D5EEC3975A0C243F04;Disable;29.09.2016;
Agencia Notarial de Certificación (ANCERT);ANCERT Corporaciones de Derecho Publico;0CFD83DBAE44B9A0C8F676F3B570650B94B69DBF;36544D2FCE03C6C72B70EB1A8064264DC1511768C2D8F76A8B9F1F2BBD153B7D;Disable;29.09.2016;
